shop,type,num_malls,num_outlets,malls
Spectacle Hut,Retail,22,22,"313@somerset, AMK Hub, Bedok Mall, Bugis Junction (Part of Bugis Town), Century Square, City Square Mall, Great World, Jem, Jewel Changi Airport, Jurong Point, Lot One Shoppers' Mall, Ngee Ann City, Northpoint City, One Holland Village, Plaza Singapura, Raffles City Shopping Centre, The Shoppes at Marina Bay Sands, Tiong Bahru Plaza, VivoCity, Waterway Point, Westgate, White Sands"
Pet Lovers Centre,Retail,20,20,"Bedok Mall, Bugis Junction (Part of Bugis Town), City Square Mall, Great World, HillV2, Hougang Mall, Jem, Junction 10, Junction 8, Jurong Point, Lot One Shoppers' Mall, Northpoint City, Plaza Singapura, Suntec City, Tampines Mall, The Centrepoint, United Square, Valley Point, West Coast Plaza, White Sands"
SK JEWELLERY,Retail,20,20,"AMK Hub, Bedok Mall, Bugis Junction (Part of Bugis Town), Causeway Point, Great World, Hougang Mall, IMM Building, ION Orchard, Jem, Jewel Changi Airport, Junction 8, Jurong Point, Lot One Shoppers' Mall, Northpoint City, Plaza Singapura, Square 2, Suntec City, Tampines Mall, VivoCity, Waterway Point"
HOCKHUA TONIC,Retail,19,19,"AMK Hub, Bedok Mall, Causeway Point, City Square Mall, Great World, Hougang 1, Hougang Mall, Jem, Junction 8, Jurong Point, Lot One Shoppers' Mall, Northpoint City, Sengkang Grand Mall, Swing By @ Thomson Plaza, Tampines Mall, Tiong Bahru Plaza, United Square, Waterway Point, White Sands"
UOB,Retail,17,18,"AMK Hub, Bedok Mall, Bugis Junction (Part of Bugis Town), Bugis+ (Part of Bugis Town), City Square Mall, Great World, IMM Building, Jem, Junction 8, Jurong Point, Lot One Shoppers' Mall, PLQ Mall, Paragon, Raffles City Shopping Centre, Suntec City, Tampines Mall, VivoCity"
CHARLES & KEITH,Retail,17,17,"313@somerset, Bugis Junction (Part of Bugis Town), Causeway Point, City Square Mall, Clarke Quay Central, ION Orchard, Jem, Jewel Changi Airport, Ngee Ann City, Plaza Singapura, Raffles City Shopping Centre, Suntec City, Tampines Mall, The Shoppes at Marina Bay Sands, VivoCity, Waterway Point, Wisma Atria"
Clippers Barber,Retail,17,17,"AMK Hub, Aperia Mall, Causeway Point, City Square Mall, Funan, Great World, Hougang Mall, Jem, Jurong Point, Northpoint City, PLQ Mall, Sengkang Grand Mall, Square 2, Suntec City, Tampines 1, West Coast Plaza, White Sands"
Venus Beauty,Retail,17,17,"Bedok Mall, Causeway Point, Century Square, City Square Mall, Hougang Mall, Jem, Junction 8, Jurong Point, Lot One Shoppers' Mall, Northpoint City, PLQ Mall, Sengkang Grand Mall, Tiong Bahru Plaza, United Square, VivoCity, Waterway Point, White Sands"
Lenskart,Retail,16,17,"Bedok Mall, Causeway Point, Century Square, City Square Mall, Hougang Mall, Jewel Changi Airport, Junction 8, Jurong Point, Lot One Shoppers' Mall, Northpoint City, Plaza Singapura, Suntec City, VivoCity, Waterway Point, Westgate, White Sands"
Kskin,Retail,16,16,"313@somerset, AMK Hub, Bugis+ (Part of Bugis Town), Causeway Point, Great World, Greenwich V, Jem, Junction 8, Jurong Point, Lot One Shoppers' Mall, Northpoint City, PLQ Mall, Square 2, Swing By @ Thomson Plaza, Waterway Point, White Sands"
Aureus Academy,Retail,15,16,"AMK Hub, Bedok Mall, Causeway Point, Century Square, Great World, Hougang 1, Jurong Point, Northpoint City, Suntec City, Swing By @ Thomson Plaza, United Square, VivoCity, West Coast Plaza, Westgate, White Sands"
Bata,Retail,15,15,"AMK Hub, Bedok Mall, Causeway Point, Century Square, City Square Mall, Jem, Junction 8, Jurong Point, Lot One Shoppers' Mall, Northpoint City, PLQ Mall, Tiong Bahru Plaza, United Square, VivoCity, Waterway Point"
Giordano,Retail,15,15,"AMK Hub, Bedok Mall, Bugis Junction (Part of Bugis Town), Causeway Point, City Square Mall, Hougang Mall, Jem, Jurong Point, Lot One Shoppers' Mall, Northpoint City, Suntec City, Tampines Mall, Tiong Bahru Plaza, Velocity@Novena Square, White Sands"
Japan Home,Retail,15,15,"Bedok Mall, Century Square, City Square Mall, Hougang Mall, Junction 8, Jurong Point, Lot One Shoppers' Mall, Marina Square, Northpoint City, PLQ Mall, Square 2, Tiong Bahru Plaza, Waterway Point, Westgate, White Sands"
MINISO,Retail,15,15,"313@somerset, Bedok Mall, Century Square, Jewel Changi Airport, Junction 8, Jurong Point, Lot One Shoppers' Mall, Northpoint City, Suntec City, Tiong Bahru Plaza, Velocity@Novena Square, VivoCity, Waterway Point, West Coast Plaza, Westgate"
PANDORA,Retail,15,15,"Bugis Junction (Part of Bugis Town), Causeway Point, Great World, ION Orchard, Jewel Changi Airport, Junction 8, Northpoint City, PLQ Mall, Plaza Singapura, Suntec City, Tampines Mall, The Shoppes at Marina Bay Sands, VivoCity, Waterway Point, Westgate"
Pixie Nail Spa,Retail,15,15,"Bugis Junction (Part of Bugis Town), Causeway Point, Funan, Jem, Jurong Point, Marina Square, Ngee Ann City, Northpoint City, PLQ Mall, Plaza Singapura, Tampines 1, Tiong Bahru Plaza, Waterway Point, West Coast Plaza, White Sands"
