brand,segment,provenance,outlets
Go Ba! 果霸茶,F&B,Unknown,1
"Grand Cru, Wine Concierge",F&B,Unknown,1
GO UNIQUE - 有间面馆 GO NOODLE HOUSE,F&B,Unknown,1
Homm Dessert at Heart,F&B,Unknown,1
Bon Broth,F&B,Unknown,1
DOMO Modern Japanese,F&B,Unknown,1
ARTEASG,F&B,Unknown,1
SPICY NOODLE 銷魂麵舖,F&B,Unknown,1
The Food Place by Food Republic,F&B,Unknown,1
Simply Wrapps,F&B,Unknown,1
BLUEBIRD TRAVEL 青鳥旅行,F&B,Unknown,1
Sushidan,F&B,Unknown,1
Taste Ipoh,F&B,Unknown,1
ThaiExpress,F&B,Unknown,1
sio pasta,F&B,Unknown,1
Lola's,F&B,Unknown,1
Ging Sun Ho King of Bun,F&B,Unknown,1
Lao Huo Tang Signature,F&B,Unknown,1
Seorae Jib / Pocha! Korean Street Dining,F&B,Unknown,1
saap saap thai x kaffe & toast,F&B,Unknown,1
Teppan-yaki x Alley Wei,F&B,Unknown,1
Kuan Zhai Alley 宽窄巷子,F&B,Unknown,1
ROYCE,F&B,Unknown,1
YEAH GELATO 野人先生,F&B,Unknown,1
Steak 99 Plus,F&B,Unknown,1
Anjappar,F&B,Unknown,1
Kushiya,F&B,Unknown,1
MUN ZUK,F&B,Unknown,1
Hundred Acre Creamery,F&B,Unknown,1
Buta Kizoku,F&B,Unknown,1
Green Delights,F&B,Unknown,1
Bebek Goreng Pak Ndut,F&B,Unknown,1
NEXT SHIKAKU,F&B,Unknown,1
Giraffa,F&B,Unknown,1
My Kampung,F&B,Unknown,1
DONQ ÉDITER,F&B,Unknown,1
Mini One,F&B,Unknown,1
Bao's Pastry 鲍师傅糕点,F&B,Unknown,1
LE Congee & Noodle House,F&B,Unknown,1
Sagye Lite,F&B,Unknown,1
Oriental Food 东方美食,F&B,Unknown,1
Niku Niku Oh!! Kome,F&B,Unknown,1
Gyukatsu 99,F&B,Unknown,1
A Gan Guo Kui,F&B,Unknown,1
PPP Coffee,F&B,Unknown,1
The Oyster Bank,F&B,Unknown,1
Churros Republic,F&B,Unknown,1
Little Ribbons Pasta Co.,F&B,Unknown,1
Big Appetite,F&B,Unknown,1
Raffles Coffee and Toast (瑞福),F&B,Unknown,1
Trehaus Café,F&B,Unknown,1
Noodle Star K,F&B,Unknown,1
Happy Cup,F&B,Unknown,1
Seoul Bunsik,F&B,Unknown,1
The Upper House,F&B,Unknown,1
Mingle,F&B,Unknown,1
Flavours by Saute,F&B,Unknown,1
GODMAMA,F&B,Unknown,1
Sinpopo Brand,F&B,Unknown,1
Yan Ji Gourmet Seafood Soup,F&B,Unknown,1
Miss Tang's Rice Noodle 唐大小姐小锅米线,F&B,Unknown,1
Retroholics by Tin Box,F&B,Unknown,1
Hai Kah Lang,F&B,Unknown,1
RUXU入续,F&B,Unknown,1
Pop Thai,F&B,Unknown,1
Kuan Zhai 宽窄碗碗香,F&B,Unknown,1
Hakka Bond 客家帮,F&B,Unknown,1
Good Day Bakery,F&B,Unknown,1
Ah Ma Chi Mian,F&B,Unknown,1
Annabella Patisserie,F&B,Unknown,1
Bagus by Kopitiam,F&B,Unknown,1
Laaziiz,F&B,Unknown,1
MUNCHI PANCAKES / ALC RICEBOWLS,F&B,Unknown,1
Nelly's Retro Snacks,F&B,Unknown,1
Nomad Ventures,F&B,Unknown,1
Super Sushi / Butter Studio,F&B,Unknown,1
Tiong Bahru Jian Bo Shui Kueh,F&B,Unknown,1
Wang Lu Hotpot,F&B,Unknown,1
Alley.Wei,F&B,Unknown,1
Arnold's Fried Chicken,F&B,Unknown,1
Bagus Food Hall by Kopitiam,F&B,Unknown,1
Ban Heng Teochew Porridge,F&B,Unknown,1
Bugis Xin Yuan Ji,F&B,Unknown,1
Chao Yue Xuan Dim Sum Express,F&B,Unknown,1
ChaPanda 茶百道,F&B,Unknown,1
CocoNutnut,F&B,Unknown,1
Crolo,F&B,Unknown,1
Fa Ji Lao Wan Mian,F&B,Unknown,1
Feng Food,F&B,Unknown,1
HaiDiLao,F&B,Unknown,1
Hatsumi Donburi & Soba,F&B,Unknown,1
Hockhua Herbal Tea,F&B,Unknown,1
@i MANGO COTTON ICE FRESH MILK TEA OMELETTE RICE,F&B,Unknown,1
Jianghu Hotpot,F&B,Unknown,1
Joe & Dough,F&B,Unknown,1
Komala's,F&B,Unknown,1
Nakhon Kitchen,F&B,Unknown,1
Pizza Nation,F&B,Unknown,1
Riverside Canton Claypot Cuisine,F&B,Unknown,1
Sakon Thai,F&B,Unknown,1
Sakunthala's Restaurant,F&B,Unknown,1
SEORAE Korean Charcoal BBQ,F&B,Unknown,1
Sharetea Premium,F&B,Unknown,1
Shu Liu Xiang,F&B,Unknown,1
Sichuan Chef,F&B,Unknown,1
snacKING Retro Biscuits Express,F&B,Unknown,1
Suparakki Ramen,F&B,Unknown,1
The Kind Bowl,F&B,Unknown,1
The SGFR Store,F&B,Unknown,1
Tous les Jours,F&B,Foreign,1
Xi Chuan Chuan 喜串串,F&B,Unknown,1
Yappari Steak,F&B,Unknown,1
YAYOI,F&B,Unknown,1
Yummi House,F&B,Unknown,1
Buddy Hoagies Café & Grill,F&B,Unknown,1
Chocolate Origin & Cacaocat,F&B,Unknown,1
Red Ginger Coffeehouse,F&B,Unknown,1
Towkay Kia,F&B,Unknown,1
Twenty Loaf Toasties,F&B,Unknown,1
Wanglu Hot Pot,F&B,Unknown,1
Wen Zhang Lao Mian,F&B,Unknown,1
CHURN,F&B,Unknown,1
AMACHA 阿嬷茶语,F&B,Unknown,1
An Açaí Affair,F&B,Unknown,1
BROTHERBIRD,F&B,Unknown,1
Cafe Bom Bom,F&B,Unknown,1
Haruyama Udon®,F&B,Unknown,1
Hong Kong Egglet / Nam Kee Pau,F&B,Unknown,1
Killiney Coffee Cafe,F&B,Unknown,1
Mei Kee Bakery,F&B,Unknown,1
OPPA Bibimbap,F&B,Unknown,1
Saute Saranghae,F&B,Unknown,1
Sinpopo,F&B,Unknown,1
Create By The Alley,F&B,Unknown,1
Tun Xiang,F&B,Unknown,1
Yamazaki Boulangerie Chaude,F&B,Unknown,1
50 Years Taste Of Tradition,F&B,Unknown,1
8 Clover by Bakery Cuisine,F&B,Unknown,1
Abundance,F&B,Unknown,1
Bae.gal by Swee Heng,F&B,Unknown,1
Bober Tea,F&B,Unknown,1
Four Seasons Durians,F&B,Unknown,1
Golden Chopsticks,F&B,Unknown,1
Mr You Tiao,F&B,Unknown,1
Swee Choon,F&B,Unknown,1
Teahouse by Soup Restaurant,F&B,Unknown,1
The Food Market by Food Junction,F&B,Unknown,1
The MeatHouse by 18 Chefs,F&B,Unknown,1
Tip Top Curry Puff,F&B,Unknown,1
Wok The Fish!,F&B,Unknown,1
Foodies’ Garden,F&B,Unknown,1
HAPPY BITES,F&B,Unknown,1
Kyoto Onimaru,F&B,Unknown,1
Ajisen,F&B,Unknown,1
Du Du Dumplings,F&B,Unknown,1
Hoe Nam Vintage,F&B,Unknown,1
PUTIEN MAMA,F&B,Unknown,1
Sakon Thai Village,F&B,Unknown,1
Shi Li Fang Hot Pot,F&B,Unknown,1
Zuya Vegetarian,F&B,Unknown,1
Men Men Don Don,F&B,Unknown,1
Nanyang Bliss,F&B,Unknown,1
Shi Li Fang Hot Pot & One Pot,F&B,Unknown,1
Spicy Chef,F&B,Unknown,1
XCYD,F&B,Unknown,1
Zheng Nan Qi Bai and Dong Lai Handmade Fresh Buns Shop,F&B,Unknown,1
49 Seats,F&B,Unknown,1
Auntie Ashley,F&B,Unknown,1
Bird Avenue,F&B,Unknown,1
Fire Ramen,F&B,Unknown,1
GoroGoro Steamboat & Korean Buffet,F&B,Unknown,1
Gyushi,F&B,Unknown,1
Ji Xiang Kueh,F&B,Unknown,1
Song Gye Ok,F&B,Unknown,1
Veggie House,F&B,Unknown,1
HANS IM GLÜCK,F&B,Unknown,1
Paik's Bibim,F&B,Unknown,1
Bornga,F&B,Unknown,1
SF Juice,F&B,Unknown,1
Tajimaya Yakiniku / Suki-Ya KIN / MASH,F&B,Unknown,1
Project Acai,F&B,Unknown,1
xxx123,F&B,Unknown,1
Will this appear,F&B,Unknown,1
Test 1206,F&B,Unknown,1
Levi’s®,F&B,Foreign,1
Halal Test,F&B,Unknown,1
Earle Swensen's,F&B,Unknown,1
Crystal Jade Dining IN,F&B,Unknown,1
BT21 Bubble Squad Walk 2025 - Race Pack Collection & Race Day Carnival,F&B,Unknown,1
1earn,F&B,Unknown,1
谭木匠 Tan Mujiang,F&B,Unknown,1
Testing 7,F&B,Unknown,1
testing 4,F&B,Unknown,1
Testing 3,F&B,Unknown,1
Store Testing,F&B,Unknown,1
GATTEN SUSHI,F&B,Unknown,1
KYO WATAMI,F&B,Unknown,1
OSTERIA MOZZA,F&B,Unknown,1
1-ATICO BY 1-ALTITUDE,F&B,Unknown,1
7-ELEVEN,F&B,Foreign,1
BAO BAO,F&B,Unknown,1
CAFE NESUTO,F&B,Unknown,1
CINNABON,F&B,Unknown,1
COMMON MAN COFFEE ROASTERS ON THE GO,F&B,Unknown,1
DONQ EDITER/MINI ONE,F&B,Unknown,1
Eu Yan Sang,F&B,Singaporean,1
FOOD OPERA,F&B,Unknown,1
HANG HEUNG HONG KONG,F&B,Unknown,1
IMPERIAL TREASURE FINE TEOCHEW CUISINE,F&B,Unknown,1
IMPERIAL TREASURE HUAIYANG CUISINE,F&B,Unknown,1
LETAO / TOKYO MILK CHEESE FACTORY,F&B,Unknown,1
LIM CHEE GUAN,F&B,Unknown,1
MOS JAPANESE FINE FOODS,F&B,Unknown,1
PLAIN VANILLA,F&B,Unknown,1
POULET + BRASSERIE,F&B,Unknown,1
PUZZLE COFFEE,F&B,Unknown,1
TASTE PARADISE,F&B,Unknown,1
TEMPURA TENDON TENYA,F&B,Unknown,1
THE MARMALADE PANTRY,F&B,Unknown,1
VIOLET OON SINGAPORE,F&B,Unknown,1
ActionCity Café,F&B,Unknown,1
Arteastiq,F&B,Unknown,1
Bazil Kitchen [Indian Cuisine],F&B,Unknown,1
Beryl's Chocolate,F&B,Unknown,1
Birds of Paradise,F&B,Unknown,1
Café Kitsuné,F&B,Unknown,1
Chow Zan Dessert,F&B,Unknown,1
Coucou Hotpot.Brew Tea,F&B,Unknown,1
Creamie Sippies,F&B,Unknown,1
Elfuego by COLLIN’S®,F&B,Unknown,1
Gelatissimo,F&B,Unknown,1
Greendot Plus,F&B,Unknown,1
Gwangjang GAON,F&B,Unknown,1
Hitoyoshi Izakaya,F&B,Unknown,1
Hoshino Coffee Japanese Café & Restaurant,F&B,Unknown,1
Ipoh Town 怡保城茶室,F&B,Unknown,1
Jack's Place,F&B,Unknown,1
Kam's Roast,F&B,Unknown,1
KANE MOCHI,F&B,Unknown,1
Kantin,F&B,Unknown,1
Lady M,F&B,Unknown,1
LeMa Dumpling,F&B,Unknown,1
Lotteria,F&B,Unknown,1
Monarchs & Milkweed,F&B,Unknown,1
Naixue,F&B,Unknown,1
Nesuto,F&B,Unknown,1
Nong Geng Ji,F&B,Unknown,1
NY Char Grill,F&B,Unknown,1
PAUL Bakery & Restaurant,F&B,Unknown,1
Pop Play Planet Cafe,F&B,Unknown,1
Poulet Bijou,F&B,Unknown,1
Royal Host,F&B,Unknown,1
Sampanman Kelong Changi,F&B,Unknown,1
SugarBelly,F&B,Unknown,1
SUKIYA. Gyudon. Curry,F&B,Unknown,1
The Coach Restaurant,F&B,Unknown,1
The Hainan Story,F&B,Unknown,1
Toast Box & Thye Moh Chan,F&B,Unknown,1
Tokyo Milk Cheese Factory & Cow Cow Kitchen,F&B,Unknown,1
Treasures Yi Dian Xin,F&B,Unknown,1
Tsuta Japanese Soba Noodles,F&B,Unknown,1
Wa-En Wagyu Yakiniku,F&B,Unknown,1
Wu Fang Zhai,F&B,Unknown,1
Yun Nans,F&B,Unknown,1
3 LITTLE GIRLS,F&B,Unknown,1
ARMOURY STEAKS AND CRAFT BEER,F&B,Unknown,1
CAFE ONE O,F&B,Unknown,1
CLAYFUL CAFE,F&B,Unknown,1
DANCING CRAB,F&B,Unknown,1
DE TASTE,F&B,Unknown,1
FYP,F&B,Unknown,1
GANGNAM STORY,F&B,Unknown,1
HELEN'S ORCHARD CENTRAL,F&B,Unknown,1
HUMBLE SEEDS,F&B,Unknown,1
HUO LU HUO 火炉火,F&B,Unknown,1
K. COOK KOREAN BBQ BUFFET,F&B,Unknown,1
KEUM EUN DON,F&B,Unknown,1
KIMCHI DINING,F&B,Unknown,1
KISEKI JAPANESE BUFFET RESTAURANT,F&B,Unknown,1
KUMACHAN ONSEN,F&B,Unknown,1
MACCHA HOUSE,F&B,Foreign,1
MOLLY TEA,F&B,Unknown,1
NANTSUTTEI,F&B,Unknown,1
NOTHING BUT CHEESEBURGER (NBCB),F&B,Unknown,1
REAL FOOD,F&B,Unknown,1
TANUKI RAW,F&B,Unknown,1
TENYA,F&B,Unknown,1
TUNG LOK PEKING DUCK,F&B,Unknown,1
TUNG LOK SEAFOOD RESTAURANT,F&B,Unknown,1
YO-CHI,F&B,Unknown,1
AZABU SABO HOKKAIDO ICE-CREAM SHOP,F&B,Unknown,1
BANH MI SOCIETY,F&B,Unknown,1
CASABITES,F&B,Unknown,1
CHEF X @ CLARKE QUAY CENTRAL,F&B,Unknown,1
CHIA PUDDIES,F&B,Unknown,1
CRAFTSMEN SPECIALTY COFFEE,F&B,Unknown,1
E!GHT KOREAN BBQ,F&B,Unknown,1
HITOYOSHI YOSHI SUSHI,F&B,Unknown,1
L'ATELIER TIRAMISU,F&B,Unknown,1
MADLYGOOD JAPANESE CAFE,F&B,Unknown,1
MAN MAN JAPANESE UNAGI RESTAURANT,F&B,Unknown,1
MITSUBA JAPANESE RESTAURANT,F&B,Unknown,1
NG AH SIO BAK KUT TEH,F&B,Unknown,1
NOMVNOM BISTRO,F&B,Unknown,1
ONI KIMBAP / OBBA JJAJANG EXPRESS,F&B,Unknown,1
PANDA CHAN,F&B,Unknown,1
PIZZA KITA,F&B,Unknown,1
RENDEZVOUS RESTAURANT HOCK LOCK KEE,F&B,Unknown,1
SINFOODIE FOOD COURT,F&B,Unknown,1
SQUE ROTISSERIE & ALEHOUSE,F&B,Unknown,1
SUSHI KENSHIN,F&B,Unknown,1
TENDON KOHAKU,F&B,Unknown,1
THE ACAI TEAHOUSE,F&B,Unknown,1
TSUI WAH RESTAURANT,F&B,Unknown,1
TUNG LOK SIGNATURES,F&B,Unknown,1
YI FANG TAIWAN FRUIT TEA,F&B,Unknown,1
小燕子番茄火锅 TOMATO HOTPOT,F&B,Unknown,1
BREAD & HEARTH,F&B,Unknown,1
BURRATA JOY AND GUSTAVO LAPASTA,F&B,Unknown,1
HIKARU OMAKASE,F&B,Unknown,1
LE PETIT KATONG,F&B,Unknown,1
REE.CONNECT BY REE AND MUMMY,F&B,Unknown,1
THE CANOPY CAFE,F&B,Unknown,1
YUN GA TRADITIONAL KOREAN RESTAURANT,F&B,Unknown,1
NAPOLIZZ PIZZA,F&B,Unknown,1
PICNIC @ GREENWICH V,F&B,Unknown,1
CHONG QING GRILLED FISH,F&B,Unknown,1
IO ITALIAN OSTERIA,F&B,Unknown,1
JIAK,F&B,Unknown,1
JO-YI BAKERY,F&B,Unknown,1
SHE SELLS SEASHELLS,F&B,Unknown,1
TANDOORI CULTURE,F&B,Unknown,1
A KITCHEN,F&B,Unknown,1
CAPTAIN KIM KOREAN BBQ & HOTPOT,F&B,Unknown,1
JIANG HU MAO CAI,F&B,Unknown,1
ROTIKEK,F&B,Unknown,1
SPRINGLEAF PRATA PLACE,F&B,Unknown,1
A-ONE EXPRESS,F&B,Unknown,1
MR BEAN / DO QOO,F&B,Unknown,1
alittle 1㸃㸃,F&B,Unknown,1
AMIYAKI,F&B,Unknown,1
BARA INDONESIAN GRILLED RICE,F&B,Unknown,1
BEIJU EXPRESS,F&B,Unknown,1
BEST EMPLOYEE FRIED CHICKEN,F&B,Unknown,1
COFFEE HIVE,F&B,Unknown,1
COFFEEMAN,F&B,Unknown,1
HINOYA TEPPANYAKI,F&B,Unknown,1
IM JAI BY PUN IM,F&B,Unknown,1
KAFEY HAUS,F&B,Unknown,1
MA-LAB,F&B,Unknown,1
MIRAKU,F&B,Unknown,1
NICK VINA ARTISAN BAKERY,F&B,Unknown,1
PARK BÄCKEREI,F&B,Unknown,1
SONA'S GRILL,F&B,Unknown,1
THAI BOWL BY THAI SALAD BOWL,F&B,Unknown,1
THE PUBLIC IZAKAYA 2,F&B,Unknown,1
THE SHELF SIDE,F&B,Unknown,1
THE STRAITS WINE COMPANY,F&B,Unknown,1
TOKYO SOBA,F&B,Unknown,1
TWO MEN BAGEL HOUSE,F&B,Unknown,1
UNAGI VS SALMON,F&B,Unknown,1
TEALER,F&B,Unknown,1
88 HONG KONG ROAST MEAT SPECIALIST,F&B,Unknown,1
ASAP & CO,F&B,Unknown,1
BREAK AND BAKE,F&B,Unknown,1
BUNS & BOOZE (COMING SOON),F&B,Unknown,1
CAPASSO,F&B,Unknown,1
CHAO TING,F&B,Unknown,1
FOURGATHER,F&B,Unknown,1
GWANGHWAMUN MIJIN,F&B,Unknown,1
HELLU COFFEE,F&B,Unknown,1
HUMMINGBIRD,F&B,Unknown,1
IKKOTEN,F&B,Unknown,1
JIAK BA FOOD HEAVEN,F&B,Unknown,1
KEONBAE,F&B,Unknown,1
KURA OYSTER & HIGHBALL BAR,F&B,Unknown,1
MISS G'S GRILL & BAR,F&B,Unknown,1
OFFBEAT BY COQ & BALLS,F&B,Unknown,1
OLLELLA,F&B,Unknown,1
ONORI,F&B,Unknown,1
PAGI SORE INDONESIAN RESTAURANT,F&B,Unknown,1
RÖSTII,F&B,Unknown,1
SIX HANDS,F&B,Unknown,1
SUPER KITCHEN CHILLI PAN MEE,F&B,Unknown,1
THE WIRED MONKEY SG,F&B,Unknown,1
UM YONG BAEK,F&B,Unknown,1
YIN JI 银记肠粉店,F&B,Unknown,1
YOASOBI BY KANPAI,F&B,Unknown,1
ZUI YU XUAN TEOCHEW CUISINE,F&B,Unknown,1
BREWERKZ RESTAURANT AND MICROBREWERY,F&B,Unknown,1
OCHE,F&B,Unknown,1
THE CRAIC HOUSE,F&B,Unknown,1
WINGS BAR & GRILL,F&B,Unknown,1
HAPPY LAMB,F&B,Unknown,1
TORIO JAPANESE RESTAURANT,F&B,Unknown,1
CAFFE BEVIAMO,F&B,Unknown,1
CAFFEINEXPRESS,F&B,Unknown,1
COCOBELLA LIFEBAR,F&B,Unknown,1
FIREPLACE BY BEDROCK,F&B,Unknown,1
GINKYŌ BY KINKI,F&B,Unknown,1
HIPPOT 潮爷来了,F&B,Unknown,1
KNOTS FLOWERS AND MORE,F&B,Unknown,1
LAU WANG CLAYPOT LEGACY,F&B,Unknown,1
LO HEY HK SEAFOOD,F&B,Unknown,1
SNACKFIRST,F&B,Unknown,1
SOURBOMBE BAKERY,F&B,Unknown,1
SOUTH BANK,F&B,Unknown,1
SURREY HILLS GROCER ONE HOLLAND VILLAGE,F&B,Unknown,1
WOOBBEE,F&B,Unknown,1
WUSHILAND,F&B,Unknown,1
YATSUDOKI,F&B,Unknown,1
BA GUO GRILLED FISH,F&B,Unknown,1
FISH MART SAKURAYA,F&B,Unknown,1
GINKAKUJI ONISHI,F&B,Unknown,1
HOMESTYLE CHINA,F&B,Unknown,1
OISHII BAKERY,F&B,Unknown,1
SAIGON LEGEND,F&B,Unknown,1
SHA XIAN DELICACIES,F&B,Unknown,1
SUNNY KOREAN CUISINE,F&B,Unknown,1
TRICOW HOTPOT & BBQ BUFFET,F&B,Unknown,1
US PIZZA,F&B,Unknown,1
WEST CO'Z CAFE,F&B,Unknown,1
CHICKEN HOTPOT,F&B,Unknown,1
COFFEE HIVE SIGNATURES,F&B,Unknown,1
D'LIFE SIGNATURE,F&B,Unknown,1
HANSANG KOREAN FAMILY RESTAURANT,F&B,Unknown,1
IJOOZ,F&B,Unknown,1
INDOSOUP PADANG,F&B,Unknown,1
ITACHO SUSHI,F&B,Unknown,1
LAO BEIJING,F&B,Unknown,1
MR YOUTIAO,F&B,Unknown,1
ONCE UPON A THYME,F&B,Unknown,1
SUPER FRIED RICE,F&B,Unknown,1
TON COFFEE,F&B,Unknown,1
TUNG LOK TEAHOUSE,F&B,Unknown,1
WEWA,F&B,Unknown,1
Ayo Kimbap,F&B,Unknown,1
Brio,F&B,Unknown,1
Cai Lin Ji,F&B,Unknown,1
Cantine,F&B,Unknown,1
Farmer's Brew,F&B,Unknown,1
GoGo Franks,F&B,Unknown,1
Hai Di Lao,F&B,Unknown,1
Hokkaido Baked Cheese Tarts,F&B,Unknown,1
Idaten Udon (&JOY Japanese Food Street),F&B,Unknown,1
Ji De Chi,F&B,Unknown,1
Jinjja Kitchen,F&B,Unknown,1
Jo's Cha,F&B,Unknown,1
McDonald's and McCafe,F&B,Unknown,1
Muhan Sikdang,F&B,Unknown,1
Muyoo+,F&B,Unknown,1
Oriental Herbal Tea,F&B,Unknown,1
QQ Rice,F&B,Unknown,1
Ramen Kiou (&JOY Japanese Food Street),F&B,Unknown,1
Sampanman,F&B,Unknown,1
Shiok Cup,F&B,Unknown,1
Skythai Fastfood,F&B,Unknown,1
Summer Acai,F&B,Unknown,1
Swee Heng Classic 1989,F&B,Unknown,1
Tang Tang Malatang,F&B,Unknown,1
Thai Market By Thai Supermarket,F&B,Unknown,1
The Hainan Story Chapter Three,F&B,Unknown,1
Tong Heng,F&B,Unknown,1
Tsukimi Hamburg(&JOY Japanese Food Street),F&B,Unknown,1
Wadori (&JOY Japanese Food Street),F&B,Unknown,1
WAttention Plaza Japanese Kiosks Gyomu Japan Mart,F&B,Unknown,1
Xin Yuan Ji,F&B,Unknown,1
Yaki Yaki Bo (&JOY Japanese Food Street),F&B,Unknown,1
1A Heritage,F&B,Unknown,1
Big Pasta Small Pasta,F&B,Unknown,1
Herbal Tea,F&B,Unknown,1
LiHO Tea / Gong Yuan Ma La Tang,F&B,Unknown,1
Mini Bae,F&B,Unknown,1
Prata Raya,F&B,Unknown,1
Qi Le Boneless Chicken Rice,F&B,Unknown,1
Randy Indulgence Acai Bar,F&B,Unknown,1
Ritz Apple Strudel & Pastry,F&B,Unknown,1
Seremban Kee Mei Siew Pow,F&B,Unknown,1
SF,F&B,Unknown,1
Snack Box,F&B,Unknown,1
Stuff'd More,F&B,Unknown,1
Swee Choon Express,F&B,Unknown,1
Thai Baang,F&B,Unknown,1
Yummi Bites,F&B,Unknown,1
Zhong Yan Tang,F&B,Unknown,1
爭鮮 GOGO,F&B,Unknown,1
老2靓汤 FAST SOUP,F&B,Unknown,1
Bistro Box by Uncle Penyet,F&B,Unknown,1
Hajime Tonkatsu & Ramen,F&B,Unknown,1
Heavenly Wang,F&B,Singaporean,1
Hokkaido-Ya,F&B,Unknown,1
Koufu,F&B,Singaporean,1
Nam Kee Pau & Hong Kong Egglet,F&B,Unknown,1
Peach Garden,F&B,Unknown,1
WANGXIAOZAN Hunan Cuisine,F&B,Unknown,1
Wonderful Bapsang,F&B,Unknown,1
@ i Mango,F&B,Unknown,1
Aunt MyeongDong,F&B,Unknown,1
Cedele Bakery Cafe,F&B,Unknown,1
Chef Vo Quoc Vietnamese Cuisines,F&B,Unknown,1
Eat Rich,F&B,Unknown,1
Fragrance Foodstuff,F&B,Unknown,1
Hankang Pocha,F&B,Unknown,1
Holla Juice & Acai,F&B,Unknown,1
Hummus House by Pita & Olives,F&B,Unknown,1
Jie Traditional Bakery,F&B,Unknown,1
Koi Cafe Express,F&B,Unknown,1
Kok Sen Restaurant,F&B,Unknown,1
Lai Lai Taiwan Casual Dining,F&B,Unknown,1
Rich & Good Cake Shop,F&B,Unknown,1
Saizeriya Ristorante E Caffe,F&B,Unknown,1
Saute-san,F&B,Unknown,1
Streats Cafe,F&B,Unknown,1
Super Dario Lasagne Cafe,F&B,Unknown,1
The Cake Shop,F&B,Unknown,1
Xiao Jiao Tian Sichuan Cuisine,F&B,Unknown,1
Yang Guo Fu Malatang,F&B,Unknown,1
BYD by 1826,F&B,Unknown,1
Chopstix & Rice,F&B,Unknown,1
FU LIN,F&B,Unknown,1
Guerilla Coffee,F&B,Unknown,1
Killiney Café,F&B,Unknown,1
Mai Ge Wen,F&B,Unknown,1
Matchaya,F&B,Unknown,1
MoreYogurt,F&B,Unknown,1
Olivia & Co.,F&B,Unknown,1
Signature KOI & KOI Thé,F&B,Unknown,1
Tim Hortons Coffee House Est. 1964,F&B,Unknown,1
Turkish Lezzet House,F&B,Unknown,1
Yong Xing Teochew Porridge,F&B,Unknown,1
GODIVA,F&B,Unknown,1
noci bakehouse,F&B,Unknown,1
The Cookie Museum at The Gallery,F&B,Unknown,1
AJ's Teh Tarik,F&B,Unknown,1
Café Usagi TOKYO,F&B,Unknown,1
Ichigo by Tea Cottage,F&B,Unknown,1
llao llao,F&B,Unknown,1
Mister Wheel,F&B,Unknown,1
Ningji,F&B,Unknown,1
Salmon Warrior,F&B,Unknown,1
SF Farm Mart,F&B,Unknown,1
SOTBOX,F&B,Unknown,1
FOOD ARENA by Yew Kee Group,F&B,Unknown,1
2GATHER,F&B,Unknown,1
Ameising Live House,F&B,Unknown,1
Beautiful Lai Grilled Fish (Lai Meili),F&B,Unknown,1
BGM,F&B,Unknown,1
Bibim Deli,F&B,Unknown,1
CHADA by Tin Box,F&B,Unknown,1
Chill by Vox,F&B,Unknown,1
Coucou Hot Pot Brew Tea & Tea Me Tea,F&B,Unknown,1
DeliTurk by Chef Celal,F&B,Unknown,1
Dookki,F&B,Unknown,1
Downstairs,F&B,Unknown,1
Echo (Coming Soon),F&B,Unknown,1
EN Yeoh’s Bak Kut Teh,F&B,Unknown,1
GLO (Coming Soon),F&B,Unknown,1
GOPIZZA,F&B,Unknown,1
Ichikokudo Ramen,F&B,Unknown,1
JYU LAE,F&B,Unknown,1
Karii,F&B,Unknown,1
Katsu-an,F&B,Unknown,1
Kebabchi Charcoal BBQ,F&B,Unknown,1
LINKUS HOKKIEN FLAVOR 临家,F&B,Unknown,1
Morganfield's,F&B,Unknown,1
NOCI,F&B,Unknown,1
Onggii,F&B,Unknown,1
OSG Bar + Kitchen,F&B,Unknown,1
Penang Place,F&B,Unknown,1
SBCD Korean Rice House,F&B,Unknown,1
Simply Retro by Tin Box,F&B,Unknown,1
SOTPOT,F&B,Unknown,1
Soup Cup,F&B,Unknown,1
SYNTHESIS,F&B,Unknown,1
Tamoya Udon and Tempura,F&B,Unknown,1
The Soup Expert,F&B,Unknown,1
TONSHOU,F&B,Unknown,1
True Cost,F&B,Unknown,1
Uncle Fong Hotpot Restaurant,F&B,Unknown,1
Vox,F&B,Unknown,1
Wonderful Bap Sang,F&B,Unknown,1
Yakiniku-GO Plus,F&B,Unknown,1
Yakitori ONE,F&B,Unknown,1
Yong Fu,F&B,Unknown,1
Zhou's Claypot Rice Noodles,F&B,Unknown,1
5:59,F&B,Unknown,1
An Nyeong,F&B,Unknown,1
At Tea,F&B,Unknown,1
Café de Paris,F&B,Unknown,1
CHACHAO,F&B,Unknown,1
Chimi's,F&B,Unknown,1
EATPIZZA,F&B,Unknown,1
Ichikokudo Hokkaido Ramen,F&B,Unknown,1
Kang Ji Sugar Coated Fruits,F&B,Unknown,1
Noodle Villa,F&B,Unknown,1
O'ma Spoon,F&B,Unknown,1
One Fermented Rice,F&B,Unknown,1
Riverside Indonesian BBQ,F&B,Unknown,1
Sake +,F&B,Unknown,1
Tsuta,F&B,Unknown,1
Vanda Botanical Desserts,F&B,Unknown,1
Wokker by A-Roy Thai Restaurant,F&B,Unknown,1
Xiao Noodles,F&B,Unknown,1
Boost Juice Bar,F&B,Unknown,1
Gyo Gyo,F&B,Unknown,1
Han's Union,F&B,Unknown,1
