brand,segment,provenance,outlets
Geláre,F&B,Unknown,4
rumeL,F&B,Unknown,4
Shihlin Taiwan Street Food,F&B,Unknown,4
White Restaurant,F&B,Singaporean,4
Eat Pizza,F&B,Unknown,4
Red Ginger,F&B,Unknown,4
Popeyes,F&B,Foreign,4
Yuen Kee Dumpling,F&B,Unknown,4
Food Junction,F&B,Singaporean,4
Chocolate Origin,F&B,Unknown,4
Hoshino Coffee,F&B,Foreign,4
Beard Papa’s,F&B,Foreign,4
Da Paolo Gastronomia,F&B,Unknown,4
Rive Gauche Patisserie,F&B,Unknown,4
Venchi,F&B,Unknown,4
PS.CAFE,F&B,Singaporean,4
So Pho,F&B,Unknown,4
Tai Chong Kok,F&B,Unknown,4
Tonkatsu by Ma Maison,F&B,Unknown,4
Mr. Onigiri,F&B,Unknown,4
Délifrance,F&B,Unknown,4
Lao Huo Tang,F&B,Unknown,4
Tonkatsu ENbiton,F&B,Unknown,4
Old Tea Hut,F&B,Unknown,4
Papa Ayam,F&B,Unknown,4
Wanpo Tea Shop,F&B,Unknown,4
Mamma Mia Trattoria E Caffè,F&B,Unknown,4
Bottles & Bottles,F&B,Unknown,4
365 Juices Bar,F&B,Unknown,4
ASTONS Steak & Salad,F&B,Unknown,4
KOI Express,F&B,Unknown,4
Supergreen,F&B,Unknown,3
A HOT HIDEOUT,F&B,Unknown,3
Le Shrimp Ramen,F&B,Unknown,3
Kebabs Faktory,F&B,Unknown,3
JINJJA Chicken,F&B,Foreign,3
Kenny Rogers Roasters,F&B,Foreign,3
Chewy Junior,F&B,Unknown,3
TOMORO COFFEE,F&B,Unknown,3
SF FRUITS,F&B,Unknown,3
SAN REN XING 三人行,F&B,Unknown,3
Paradise Classic,F&B,Unknown,3
BATTERCATCH,F&B,Unknown,3
PastaGo,F&B,Unknown,3
Ajisen Ramen,F&B,Unknown,3
Big Fish Small Fish,F&B,Unknown,3
Sushi Plus,F&B,Unknown,3
Hong Kong Egglet,F&B,Unknown,3
Fore Coffee,F&B,Unknown,3
Cai-Ca,F&B,Unknown,3
Sushi Zushi,F&B,Unknown,3
SUKI-YA,F&B,Unknown,3
Xin Wang Hong Kong Cafe,F&B,Unknown,3
itea,F&B,Unknown,3
CHA MULAN,F&B,Unknown,3
The Whale Tea,F&B,Unknown,3
CocoCane,F&B,Unknown,3
Tokyo Shokudo,F&B,Unknown,3
Kin No Mame,F&B,Unknown,3
Pawa Bakery,F&B,Unknown,3
The Cocoa Trees,F&B,Unknown,3
Shiok Burger,F&B,Unknown,3
Casa Vostra,F&B,Unknown,3
Fieldnotes,F&B,Unknown,3
ROYCE',F&B,Unknown,3
Lee Wee & Brothers,F&B,Unknown,3
Cellarbration,F&B,Unknown,3
Kind Kones,F&B,Unknown,3
Ji De Chi Dessert,F&B,Unknown,3
The Tree Cafe,F&B,Unknown,3
Dapur Penyet,F&B,Unknown,3
SMOOY,F&B,Unknown,3
Bali Thai,F&B,Unknown,3
Each-a-Cup,F&B,Singaporean,3
Poke Theory,F&B,Unknown,3
rrooll,F&B,Unknown,3
SF Fruits & Juices,F&B,Unknown,3
Texas Chicken,F&B,Foreign,3
Ayam Penyet President,F&B,Unknown,3
BreadTalk/Toast Box,F&B,Unknown,3
Dough Magic,F&B,Unknown,3
Fried Chicken Master,F&B,Unknown,3
Hakka Yu,F&B,Unknown,3
LeNu,F&B,Unknown,3
Mei Heong Yuen Dessert,F&B,Unknown,3
Mr Teh Tarik Express,F&B,Singaporean,3
CAKEBAR,F&B,Unknown,3
Cookhouse by Koufu,F&B,Unknown,3
Han's,F&B,Singaporean,3
Pizza Hut,F&B,Unknown,3
snacKING Retro Biscuits,F&B,Unknown,3
Warabimochi Kamakura,F&B,Unknown,3
Plum Village,F&B,Unknown,3
HAWKERS' STREET,F&B,Unknown,3
iSTEAKS,F&B,Unknown,3
YES LEMON,F&B,Unknown,3
D'Penyetz,F&B,Unknown,3
Chicken Pie Kitchen & Don Signature Crab,F&B,Unknown,3
JUMBO SEAFOOD,F&B,Unknown,3
% Arabica (Temporarily closed),F&B,Foreign,3
Kiwami Ramen & Gyoza Bar,F&B,Unknown,3
Tambuah Mas Indonesian Restaurant,F&B,Unknown,3
Tempura-EN,F&B,Unknown,3
Huggs Coffee,F&B,Singaporean,3
i•tea,F&B,Unknown,3
Melvados,F&B,Unknown,3
BBQ Box 串烧工坊,F&B,Unknown,3
Toast & Roll by Swee Heng,F&B,Unknown,3
PAUL,F&B,Foreign,3
Peperoni Pizzeria,F&B,Unknown,3
TAI ER,F&B,Unknown,3
Wonder Juice,F&B,Unknown,2
Hoe Nam Signatures,F&B,Unknown,2
Hundred Grains 百米香,F&B,Unknown,2
Wang Fu Dim Sum,F&B,Unknown,2
City Hot Pot,F&B,Unknown,2
The Alley,F&B,Unknown,2
QIN JI ROUGAMO,F&B,Unknown,2
TSUJIRI,F&B,Unknown,2
BOOST,F&B,Unknown,2
Eastern Rice Dumpling,F&B,Unknown,2
Devil Chicken,F&B,Unknown,2
Smile Martabak,F&B,Unknown,2
Cut Butchery,F&B,Unknown,2
Avocadoria,F&B,Unknown,2
Shanghai Tan Pan-Fried Buns,F&B,Unknown,2
Hainan Second Street,F&B,Unknown,2
MENDON,F&B,Unknown,2
Paradise Hotpot,F&B,Unknown,2
Ma Maison,F&B,Unknown,2
Miam Miam,F&B,Unknown,2
Flipper's,F&B,Unknown,2
Hokkaido Baked Cheese Tart,F&B,Unknown,2
Bulgogi Syo,F&B,Unknown,2
Lavender,F&B,Unknown,2
Daily Chicken,F&B,Unknown,2
