shop,type,num_malls,num_outlets,malls
Bengawan Solo,F&B,18,18,"AMK Hub, Bugis Junction (Part of Bugis Town), Causeway Point, Great World, Hougang Mall, ION Orchard, Jem, Jewel Changi Airport, Junction 8, Jurong Point, Lot One Shoppers' Mall, Northpoint City, Plaza Singapura, Raffles City Shopping Centre, Swing By @ Thomson Plaza, Tampines Mall, Tiong Bahru Plaza, White Sands"
Luckin Coffee,F&B,18,18,"313@somerset, Aperia Mall, Century Square, Hougang 1, Hougang Mall, Jem, Jewel Changi Airport, Junction 8, Marina Square, Northpoint City, PLQ Mall, Plaza Singapura, Suntec City, Tampines 1, VivoCity, Waterway Point, Westgate, White Sands"
KOI Thé,F&B,17,18,"Great World, Hougang 1, Hougang Mall, IMM Building, Junction 8, Northpoint City, PLQ Mall, Paragon, Raffles City Shopping Centre, Sengkang Grand Mall, Tampines Mall, The Centrepoint, Tiong Bahru Plaza, United Square, VivoCity, Waterway Point, White Sands"
Bee Cheng Hiang,F&B,17,17,"Bedok Mall, Causeway Point, Great World, Hougang Mall, Jem, Jewel Changi Airport, Junction 8, Jurong Point, Lot One Shoppers' Mall, Northpoint City, PLQ Mall, Paragon, Raffles City Shopping Centre, Tampines Mall, Tiong Bahru Plaza, Waterway Point, White Sands"
CHICHA San Chen,F&B,17,17,"313@somerset, AMK Hub, Bedok Mall, Jem, Jewel Changi Airport, Jurong Point, Lot One Shoppers' Mall, Marina Square, Ngee Ann City, Northpoint City, PLQ Mall, Plaza Singapura, Suntec City, Tampines 1, Velocity@Novena Square, Waterway Point, White Sands"
KFC,F&B,17,17,"Bugis Junction (Part of Bugis Town), Causeway Point, City Square Mall, Hougang 1, Jewel Changi Airport, Junction 8, Jurong Point, Lot One Shoppers' Mall, Northpoint City, PLQ Mall, Plaza Singapura, Swing By @ Thomson Plaza, Tampines Mall, Tiong Bahru Plaza, Velocity@Novena Square, VivoCity, White Sands"
Paris Baguette,F&B,17,17,"AMK Hub, Aperia Mall, Bedok Mall, Bugis Junction (Part of Bugis Town), Hougang Mall, ION Orchard, Jem, Jewel Changi Airport, Marina Square, Northpoint City, One Holland Village, PLQ Mall, Paragon, Square 2, Tiong Bahru Plaza, VivoCity, White Sands"
SUKIYA,F&B,17,17,"313@somerset, AMK Hub, Century Square, City Square Mall, Funan, Great World, Hougang 1, Hougang Mall, Jem, Jurong Point, Marina Square, Northpoint City, Sengkang Grand Mall, Square 2, Suntec City, Waterway Point, White Sands"
Tori-Q,F&B,17,17,"AMK Hub, Bedok Mall, Bugis Junction (Part of Bugis Town), Great World, Hougang Mall, ION Orchard, Jem, Junction 8, Northpoint City, Paragon, Plaza Singapura, Tampines 1, Tampines Mall, Tiong Bahru Plaza, Velocity@Novena Square, Waterway Point, White Sands"
Mr Bean,F&B,16,17,"AMK Hub, Bedok Mall, Bugis Junction (Part of Bugis Town), Causeway Point, City Square Mall, Hougang Mall, Jem, Jurong Point, Lot One Shoppers' Mall, Northpoint City, Plaza Singapura, Square 2, The Centrepoint, Tiong Bahru Plaza, Waterway Point, White Sands"
CHAGEE,F&B,16,16,"Bedok Mall, Causeway Point, Clarke Quay Central, Great World, Hougang Mall, Jem, Junction 8, Jurong Point, Plaza Singapura, Raffles City Shopping Centre, Sengkang Grand Mall, Suntec City, Tampines 1, Velocity@Novena Square, VivoCity, Waterway Point"
Chateraise,F&B,16,16,"AMK Hub, Bedok Mall, Causeway Point, City Square Mall, Funan, Hougang Mall, Junction 8, Jurong Point, Lot One Shoppers' Mall, Northpoint City, Sengkang Grand Mall, Square 2, Tampines 1, Tiong Bahru Plaza, Waterway Point, Westgate"
Four Leaves,F&B,16,16,"AMK Hub, Bedok Mall, Bugis Junction (Part of Bugis Town), Causeway Point, Hougang Mall, IMM Building, Jem, Junction 8, Jurong Point, Lot One Shoppers' Mall, PLQ Mall, Suntec City, Tampines Mall, Tiong Bahru Plaza, Velocity@Novena Square, White Sands"
PlayMade,F&B,16,16,"313@somerset, Bedok Mall, Causeway Point, City Square Mall, Hougang Mall, Jurong Point, Northpoint City, One Holland Village, PLQ Mall, Sengkang Grand Mall, Tampines 1, Tiong Bahru Plaza, Velocity@Novena Square, VivoCity, Waterway Point, Westgate"
Polar Puffs & Cakes,F&B,16,16,"AMK Hub, Bedok Mall, Causeway Point, Hougang Mall, Jem, Junction 8, Jurong Point, Lot One Shoppers' Mall, Northpoint City, PLQ Mall, Square 2, Tampines Mall, Tiong Bahru Plaza, VivoCity, Waterway Point, White Sands"
Dian Xiao Er,F&B,14,14,"Bedok Mall, Causeway Point, City Square Mall, Great World, Jem, Jewel Changi Airport, Junction 8, Jurong Point, Lot One Shoppers' Mall, Marina Square, Northpoint City, Tampines 1, VivoCity, Waterway Point"
Fun Toast,F&B,14,14,"City Square Mall, Hougang 1, Junction 10, Junction 8, Jurong Point, Lot One Shoppers' Mall, Lucky Chinatown, Northpoint City, Suntec City, Tiong Bahru Plaza, West Coast Plaza, Westgate, White Sands, Wisma Atria"
